Designator,Mid X,Mid Y,Rotation,Layer
C1,44.66,-104.09,0.0,bottom
C10,83.13,-95.7525,90.0,bottom
C11,86.67,-102.2625,0.0,bottom
C12,93.05,-99.5825,180.0,bottom
C13,98.1375,-100.0325,0.0,bottom
C14,100.02,-105.0625,0.0,bottom
C2,42.51,-101.79,90.0,bottom
C3,53.2,-97.19,270.0,bottom
C4,50.04,-107.35,0.0,bottom
C5,54.52,-98.82,270.0,bottom
C6,50.71,-106.11,0.0,bottom
C7,51.31,-104.87,0.0,bottom
C8,53.23,-99.41,270.0,bottom
C9,51.78,-103.63,0.0,bottom
D1,86.0375,-97.6825,0.0,bottom
D2,86.0,-100.0525,180.0,bottom
D3,86.12,-95.2825,180.0,bottom
J2,47.86,-101.16885,180.0,bottom
J3,122.46,-103.648614,270.0,top
J4,108.98,-117.29,0.0,bottom
L1,93.75,-96.7225,90.0,bottom
Q1,89.8575,-97.3025,90.0,bottom
R1,89.1875,-100.5925,270.0,bottom
R2,91.02,-100.8025,270.0,bottom
R3,100.2575,-98.6125,180.0,bottom
RN1,97.5075,-102.4925,90.0,bottom
U1,101.48,-102.3225,180.0,bottom
